hidden_size: 400, learning_rate: 1.000000e-02, reg: 1.000000e-03, validation accuracy: 0.971667
hidden_size: 400, learning_rate: 1.000000e-02, reg: 5.000000e-03, validation accuracy: 0.953833
hidden_size: 400, learning_rate: 1.000000e-02, reg: 1.000000e-04, validation accuracy: 0.973583
hidden_size: 400, learning_rate: 1.000000e-02, reg: 5.000000e-04, validation accuracy: 0.973833
hidden_size: 400, learning_rate: 1.000000e-02, reg: 1.000000e-05, validation accuracy: 0.974417
hidden_size: 400, learning_rate: 1.000000e-02, reg: 5.000000e-05, validation accuracy: 0.975167
hidden_size: 400, learning_rate: 5.000000e-02, reg: 1.000000e-03, validation accuracy: 0.977667
hidden_size: 400, learning_rate: 5.000000e-02, reg: 5.000000e-03, validation accuracy: 0.957083
hidden_size: 400, learning_rate: 5.000000e-02, reg: 1.000000e-04, validation accuracy: 0.979917
hidden_size: 400, learning_rate: 5.000000e-02, reg: 5.000000e-04, validation accuracy: 0.980167
hidden_size: 400, learning_rate: 5.000000e-02, reg: 1.000000e-05, validation accuracy: 0.979250
hidden_size: 400, learning_rate: 5.000000e-02, reg: 5.000000e-05, validation accuracy: 0.981167
hidden_size: 400, learning_rate: 1.000000e-03, reg: 1.000000e-03, validation accuracy: 0.927500
hidden_size: 400, learning_rate: 1.000000e-03, reg: 5.000000e-03, validation accuracy: 0.922083
hidden_size: 400, learning_rate: 1.000000e-03, reg: 1.000000e-04, validation accuracy: 0.929500
hidden_size: 400, learning_rate: 1.000000e-03, reg: 5.000000e-04, validation accuracy: 0.927167
hidden_size: 400, learning_rate: 1.000000e-03, reg: 1.000000e-05, validation accuracy: 0.927833
hidden_size: 400, learning_rate: 1.000000e-03, reg: 5.000000e-05, validation accuracy: 0.929417
hidden_size: 400, learning_rate: 5.000000e-03, reg: 1.000000e-03, validation accuracy: 0.961583
hidden_size: 400, learning_rate: 5.000000e-03, reg: 5.000000e-03, validation accuracy: 0.948667
hidden_size: 400, learning_rate: 5.000000e-03, reg: 1.000000e-04, validation accuracy: 0.965500
hidden_size: 400, learning_rate: 5.000000e-03, reg: 5.000000e-04, validation accuracy: 0.962833
hidden_size: 400, learning_rate: 5.000000e-03, reg: 1.000000e-05, validation accuracy: 0.965333
hidden_size: 400, learning_rate: 5.000000e-03, reg: 5.000000e-05, validation accuracy: 0.964917
hidden_size: 500, learning_rate: 1.000000e-01, reg: 1.000000e-03, validation accuracy: 0.976167
hidden_size: 500, learning_rate: 1.000000e-01, reg: 5.000000e-03, validation accuracy: 0.955667
hidden_size: 500, learning_rate: 1.000000e-01, reg: 1.000000e-04, validation accuracy: 0.981500
hidden_size: 500, learning_rate: 1.000000e-01, reg: 5.000000e-04, validation accuracy: 0.980583
hidden_size: 500, learning_rate: 1.000000e-01, reg: 1.000000e-05, validation accuracy: 0.980000
hidden_size: 500, learning_rate: 1.000000e-01, reg: 5.000000e-05, validation accuracy: 0.981083
hidden_size: 500, learning_rate: 5.000000e-01, reg: 1.000000e-03, validation accuracy: 0.970833
hidden_size: 500, learning_rate: 5.000000e-01, reg: 5.000000e-03, validation accuracy: 0.951000
hidden_size: 500, learning_rate: 5.000000e-01, reg: 1.000000e-04, validation accuracy: 0.982333
hidden_size: 500, learning_rate: 5.000000e-01, reg: 5.000000e-04, validation accuracy: 0.978917
hidden_size: 500, learning_rate: 5.000000e-01, reg: 1.000000e-05, validation accuracy: 0.982417
hidden_size: 500, learning_rate: 5.000000e-01, reg: 5.000000e-05, validation accuracy: 0.983000
hidden_size: 500, learning_rate: 1.000000e-02, reg: 1.000000e-03, validation accuracy: 0.971500
hidden_size: 500, learning_rate: 1.000000e-02, reg: 5.000000e-03, validation accuracy: 0.954167
hidden_size: 500, learning_rate: 1.000000e-02, reg: 1.000000e-04, validation accuracy: 0.976667
hidden_size: 500, learning_rate: 1.000000e-02, reg: 5.000000e-04, validation accuracy: 0.974250
hidden_size: 500, learning_rate: 1.000000e-02, reg: 1.000000e-05, validation accuracy: 0.974500
hidden_size: 500, learning_rate: 1.000000e-02, reg: 5.000000e-05, validation accuracy: 0.975667
hidden_size: 500, learning_rate: 5.000000e-02, reg: 1.000000e-03, validation accuracy: 0.977583
hidden_size: 500, learning_rate: 5.000000e-02, reg: 5.000000e-03, validation accuracy: 0.955833
hidden_size: 500, learning_rate: 5.000000e-02, reg: 1.000000e-04, validation accuracy: 0.979083
hidden_size: 500, learning_rate: 5.000000e-02, reg: 5.000000e-04, validation accuracy: 0.979333
hidden_size: 500, learning_rate: 5.000000e-02, reg: 1.000000e-05, validation accuracy: 0.980417
hidden_size: 500, learning_rate: 5.000000e-02, reg: 5.000000e-05, validation accuracy: 0.980083
hidden_size: 500, learning_rate: 1.000000e-03, reg: 1.000000e-03, validation accuracy: 0.927417
hidden_size: 500, learning_rate: 1.000000e-03, reg: 5.000000e-03, validation accuracy: 0.922750
hidden_size: 500, learning_rate: 1.000000e-03, reg: 1.000000e-04, validation accuracy: 0.929167
hidden_size: 500, learning_rate: 1.000000e-03, reg: 5.000000e-04, validation accuracy: 0.929833
hidden_size: 500, learning_rate: 1.000000e-03, reg: 1.000000e-05, validation accuracy: 0.928917
hidden_size: 500, learning_rate: 1.000000e-03, reg: 5.000000e-05, validation accuracy: 0.928417
hidden_size: 500, learning_rate: 5.000000e-03, reg: 1.000000e-03, validation accuracy: 0.963500
hidden_size: 500, learning_rate: 5.000000e-03, reg: 5.000000e-03, validation accuracy: 0.948917
hidden_size: 500, learning_rate: 5.000000e-03, reg: 1.000000e-04, validation accuracy: 0.966333
hidden_size: 500, learning_rate: 5.000000e-03, reg: 5.000000e-04, validation accuracy: 0.963917
hidden_size: 500, learning_rate: 5.000000e-03, reg: 1.000000e-05, validation accuracy: 0.966333
hidden_size: 500, learning_rate: 5.000000e-03, reg: 5.000000e-05, validation accuracy: 0.963583
